ID,Type,M6_Raw,SemanticType,Status,Category,AuditNote,RuleID
doc_chuong-iii_muc-5_dieu-46_khoan-3_p44416#ACTION#2,LocalMention,Thủ tục đăng ký đất đai,LegalAction,CORRECTED,CONCEPT_MAP,"[RULE_MAP_A05] Auto-corrected: 'Thủ tục đăng ký đất đai' → subtype=LandRegistrationAction, concept=LO2024.ACTION.LAND_REGISTRATION",RULE_MAP_A05
doc_chuong-iii_muc-5_dieu-46_khoan-4_p44769#OBJECT#3,LocalMention,Giấy chứng nhận quyền sử dụng đất,LegalObject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_O01] Auto-corrected: 'Giấy chứng nhận quyền sử dụng đất' → subtype=LandUseRight, concept=LO2024.OBJECT.LAND_USE_RIGHT",RULE_MAP_O01
doc_chuong-iii_muc-5_dieu-46_khoan-5_p44959#SUBJECT#1,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
doc_chuong-iii_muc-5_dieu-47_p45245#OBJECT#1,LocalMention,Quyền sử dụng đất nông nghiệp,LegalObject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_O01] Auto-corrected: 'Quyền sử dụng đất nông nghiệp' → subtype=LandUseRight, concept=LO2024.OBJECT.LAND_USE_RIGHT",RULE_MAP_O01
doc_chuong-iii_muc-5_dieu-48_khoan-1_p45727#SUBJECT#1,LocalMention,Cá nhân là người dân tộc thiểu số,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S01] Auto-corrected: 'Cá nhân là người dân tộc thiểu số' → subtype=EthnicMinorityIndividual, concept=LO2024.SUBJECT.ETHNIC_MINORITY_INDIVIDUAL",RULE_MAP_S01
doc_chuong-iii_muc-5_dieu-48_khoan-1_p45727#SUBJECT#2,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
doc_chuong-iii_muc-5_dieu-48_khoan-1_p45727#OBJECT#1,LocalMention,quyền sử dụng đất,LegalObject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_O01] Auto-corrected: 'quyền sử dụng đất' → subtype=LandUseRight, concept=LO2024.OBJECT.LAND_USE_RIGHT",RULE_MAP_O01
doc_chuong-iii_muc-5_dieu-48_khoan-1_p45727#ACTION#3,LocalMention,chuyển nhượng,LegalAction,CORRECTED,CONCEPT_MAP,"[RULE_MAP_A01] Auto-corrected: 'chuyển nhượng' → subtype=TransferAction, concept=LO2024.ACTION.LAND_TRANSFER",RULE_MAP_A01
doc_chuong-iii_muc-5_dieu-48_khoan-1_p45727#SUBJECT#4,LocalMention,người sử dụng đất,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S07] Auto-corrected: 'người sử dụng đất' → subtype=Individual, concept=LO2024.SUBJECT.LAND_USER",RULE_MAP_S07
doc_chuong-iii_muc-5_dieu-48_khoan-2_p46774#SUBJECT#1,LocalMention,Cá nhân là người dân tộc thiểu số,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S01] Auto-corrected: 'Cá nhân là người dân tộc thiểu số' → subtype=EthnicMinorityIndividual, concept=LO2024.SUBJECT.ETHNIC_MINORITY_INDIVIDUAL",RULE_MAP_S01
doc_chuong-iii_muc-5_dieu-48_khoan-2_p46774#SUBJECT#2,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
doc_chuong-iii_muc-5_dieu-48_khoan-2_p46774#OBJECT#1,LocalMention,Quyền sử dụng đất,LegalObject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_O01] Auto-corrected: 'Quyền sử dụng đất' → subtype=LandUseRight, concept=LO2024.OBJECT.LAND_USE_RIGHT",RULE_MAP_O01
doc_chuong-iii_muc-5_dieu-48_khoan-2_p46774#ACTION#1,LocalMention,Thế chấp,LegalAction,CORRECTED,CONCEPT_MAP,"[RULE_MAP_A02] Auto-corrected: 'Thế chấp' → subtype=MortgageAction, concept=LO2024.ACTION.LAND_MORTGAGE",RULE_MAP_A02
doc_chuong-iii_muc-5_dieu-48_khoan-3_p46954#SUBJECT#1,LocalMention,Cá nhân là người dân tộc thiểu số,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S01] Auto-corrected: 'Cá nhân là người dân tộc thiểu số' → subtype=EthnicMinorityIndividual, concept=LO2024.SUBJECT.ETHNIC_MINORITY_INDIVIDUAL",RULE_MAP_S01
doc_chuong-iii_muc-5_dieu-48_khoan-3_p46954#SUBJECT#2,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
doc_chuong-iii_muc-5_dieu-48_khoan-3_p46954#OBJECT#1,LocalMention,Quyền sử dụng đất,LegalObject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_O01] Auto-corrected: 'Quyền sử dụng đất' → subtype=LandUseRight, concept=LO2024.OBJECT.LAND_USE_RIGHT",RULE_MAP_O01
doc_chuong-iii_muc-5_dieu-48_khoan-3_p46954#ACTION#1,LocalMention,Chuyển nhượng,LegalAction,CORRECTED,CONCEPT_MAP,"[RULE_MAP_A01] Auto-corrected: 'Chuyển nhượng' → subtype=TransferAction, concept=LO2024.ACTION.LAND_TRANSFER",RULE_MAP_A01
doc_chuong-iii_muc-5_dieu-48_khoan-3_p46954#ACTION#5,LocalMention,Thế chấp,LegalAction,CORRECTED,CONCEPT_MAP,"[RULE_MAP_A02] Auto-corrected: 'Thế chấp' → subtype=MortgageAction, concept=LO2024.ACTION.LAND_MORTGAGE",RULE_MAP_A02
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-a_p2588#OBJECT#1 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-a_p2588#OBJECT#2,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
